Price,Close,High,Low,Open,Volume
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV
Date,,,,,
2020-01-02,70.93424987792969,70.95008959683145,70.11044549712298,70.56195302816835,5639200
2020-01-03,70.26094818115234,70.80751218846343,69.62725664958866,69.84112610618676,5988500
2020-01-06,70.81542205810547,70.98968916136587,69.69061481046252,69.88072163066165,6786600
2020-01-07,70.41143798828125,70.92631640481818,69.91240533166732,70.44312346474055,7242500
2020-01-08,70.91047668457031,71.33822158812326,70.39560426756672,70.61739657828592,7696800
2020-01-09,71.45703887939453,71.47288464028027,70.53818417979488,71.29861753085954,7518000
2020-01-10,70.54609680175781,71.52040556285604,70.36391286616667,71.47288036981256,8581400
2020-01-13,70.11836242675781,70.8946416084888,69.64309229504323,70.8946416084888,9292200
2020-01-14,70.80878448486328,71.00146586614055,69.66075061948911,69.92568292496837,8876900
2020-01-15,71.6597671508789,72.15751199368688,70.79271944884341,70.79271944884341,8490100
2020-01-16,71.6597671508789,72.09329100189665,71.38680496688922,71.69990450511843,7073200
2020-01-17,70.64823150634766,71.6678112432981,70.4796398707119,71.55541681954095,10122300
2020-01-21,70.64019012451172,71.07371402798222,70.30300690793547,70.39131767299625,13552000
2020-01-22,70.01399230957031,70.78469944433773,69.96582502772104,70.67230503666555,6438900
2020-01-23,68.45651245117188,69.9015920357367,68.23172365469186,69.88553831814612,12266800
2020-01-24,67.0676498413086,68.62512414111238,66.44145060222279,68.58498065141238,13215400
2020-01-27,67.4529800415039,68.98637023487396,67.43692632548931,68.2798903545718,13832000
2020-01-28,67.25228881835938,68.23173107383747,67.1479243300843,68.23173107383747,8614400
2020-01-29,66.79468536376953,67.43694442737815,66.7384881550815,67.27638272399419,5703200
2020-01-30,65.6546630859375,66.46551355011084,65.17297198470861,66.29692197093247,10870000
2020-01-31,65.04451751708984,65.60649557064029,64.55480262226015,65.46198762830271,13870100
2020-02-03,66.0721435546875,66.3129860805337,64.96424711067382,65.27734668179883,10143700
2020-02-04,67.7259521484375,68.00693815766996,67.10777680309045,67.10777680309045,8251500
2020-02-05,69.54834747314453,69.95778770063113,68.14341140092041,68.28791935620774,10020600
2020-02-06,69.98991394042969,70.61611315178008,69.21920674761103,70.5599159437111,7769700
2020-02-07,74.09233856201172,74.64628692034016,71.35471646509613,72.04514290082699,19090300
2020-02-10,76.06725311279297,76.6693685727887,73.94780718361085,74.14851233694276,13998300
2020-02-11,77.07078552246094,77.9378333295972,76.27599476177056,76.47669993240197,10682800
2020-02-12,78.50784301757812,78.56404022589275,76.83797436331996,77.05473939898806,10591000
2020-02-13,76.54894256591797,78.16261367809359,76.45260801446783,77.75317345932528,10613000
2020-02-14,75.50527954101562,76.50880528651007,75.28048462899541,76.45260808976377,11175800
2020-02-18,75.15204620361328,75.86655613648311,74.87106018367052,75.20021348559322,9406300
2020-02-19,75.57754516601562,76.09937988025607,74.67838371801616,75.28049928251599,6349100
2020-02-20,75.64979553222656,75.77824365628105,74.33316397919492,75.4089468777003,5446200
2020-02-21,76.23583984375,76.68541739852512,74.96738188559473,75.4330192816317,6676000
2020-02-24,74.77473449707031,75.36079642056595,73.97994355975943,73.99599728196173,10705100
2020-02-25,71.59554290771484,75.0316141703243,70.73652509206248,74.91921977388644,11366400
2020-02-26,70.97737884521484,73.20118942084045,70.80075731663834,71.14597045202814,9786900
2020-02-27,68.57695007324219,71.81231686096406,67.59750773427163,69.19512550851086,14184100
2020-02-28,68.80977630615234,68.80977630615234,65.494128304889,66.46554082644504,18450000
2020-03-02,71.20216369628906,71.2744146130346,67.07566614452317,69.04257423971009,12171100
2020-03-03,70.3030014038086,72.97639553672144,68.76961720559947,71.80427816726909,12660900
2020-03-04,73.65880584716797,73.74711662211027,71.41090523506,71.66780763715492,16590400
2020-03-05,72.74356079101562,73.62666205283276,71.79623242378499,72.30200709759012,9688400
