Price,Close,High,Low,Open,Volume
Ticker,AIG,AIG,AIG,AIG,AIG
Date,,,,,
2020-01-02,45.015628814697266,45.111296256844696,44.563388153409846,44.911265840372415,3104600
2020-01-03,44.667755126953125,44.7634225776659,44.302479707653376,44.55469329268898,2358800
2020-01-06,44.70254135131836,44.911267306783245,44.38944910048179,44.467722163190935,2699700
2020-01-07,44.45032501220703,44.728628480586615,44.11114286747185,44.6590509546722,4580100
2020-01-08,44.972137451171875,45.44177573828889,44.45031934391204,44.45031934391204,4832100
2020-01-09,45.467872619628906,45.476571469412185,44.92866005043493,45.285236585849525,3219800
2020-01-10,45.25045394897461,45.78097105785725,45.12000104331402,45.48527316033117,5483000
2020-01-13,45.76356887817383,45.76356887817383,45.067810213581325,45.30262938493861,6039500
2020-01-14,45.52006530761719,46.18103537122083,45.38091354066695,45.72009576525566,5277000
2020-01-15,45.033023834228516,45.51136105173751,44.70254052458126,45.23305425353264,4095000
2020-01-16,45.53746032714844,45.72879525348364,45.328731014997324,45.328731014997324,3822200
2020-01-17,46.00708770751953,46.16363382450879,45.68529662390878,45.68529662390878,5818600
2020-01-21,44.937347412109375,45.83313967148489,44.85907768412554,45.70268348956813,4215100
2020-01-22,45.45047378540039,45.607019889773014,44.91126126902735,45.10259613384696,4341500
2020-01-23,44.885189056396484,45.180887001516254,44.57209672419436,44.980856526529365,3307100
2020-01-24,44.40684127807617,44.937354990496964,43.919808543442386,44.937354990496964,3227100
2020-01-27,43.598026275634766,43.78066233004573,43.38929698656545,43.57193304097641,3634700
2020-01-28,43.8415412902832,44.29378532140836,43.737178303912636,43.83284575710212,4131900
2020-01-29,43.78935623168945,44.224205859879575,43.7719651660845,43.99808551298204,2964400
2020-01-30,44.615570068359375,44.65905436655851,43.406688663171465,43.48496172698561,2979300
2020-01-31,43.7110710144043,44.48510592422114,43.43276759514102,44.13722499132282,5736100
2020-02-03,44.493812561035156,44.68514745365359,43.85893252001132,43.937205583569835,2916600
2020-02-04,44.05026626586914,45.29393640023394,43.98938758664618,45.04172283337357,3441100
2020-02-05,45.641822814941406,45.789673433906415,44.58948736712389,44.685154829223634,4408400
2020-02-06,46.45063400268555,46.61587565584948,45.780965222538306,45.98099563983333,5286400
2020-02-07,46.494117736816406,46.75502682936631,46.03317822939028,46.07666252520875,3766300
2020-02-10,47.085514068603516,47.09421291846508,46.407149755524145,46.49411834830488,2756800
2020-02-11,47.37251281738281,47.694300567526405,47.12029927267942,47.25945100119872,4656800
2020-02-12,47.207271575927734,47.920424655446766,47.207271575927734,47.74648746933123,3984100
2020-02-13,44.29377746582031,49.06842388656506,44.26768755326464,48.50312143614575,13179800
2020-02-14,42.16301345825195,44.05895782859053,41.99777181776883,43.36319918755777,11891200
2020-02-18,42.62394714355469,42.62394714355469,41.60640089137966,41.84122002287507,9403400
2020-02-19,42.971824645996094,43.29361232600538,42.70221677928453,42.96312911632587,5755700
2020-02-20,43.31101608276367,43.432773430344675,42.78919793094825,42.971833952319756,5507100
2020-02-21,42.26737976074219,43.29362508137146,42.25868422851004,43.09359466364055,4913600
2020-02-24,39.74524688720703,41.47594612309578,39.64957946175456,41.31070449944787,9774200
2020-02-25,39.34519577026367,40.301863624055684,39.30170815338637,39.87570952918945,8706000
